index,Num_el,Li,Be,B,C,N,Na,Mg,Al,Si,P,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Re,Ir,VEC,Pauling_EN,Melting_point_K,DFT_LDA_Etot,outer_shell_electrons,no_of_valence_electrons,Atomic_radius_calculated,Atomic_weight,Pauling_EN_div,entropy,Atomic_radius_calculated_dif,Enthalpy,Geo,E_per_el,Phase
Mn15.936Fe19.856Co24.727Ni29.672Cu9.8086,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1593606374425497,0.198560794243177,0.2472709890839563,0.2967211868847475,0.0980863923455693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97561190244761,1.8283463133852536,1683.219028276113,-1382.0598442258229,1.9019136076544307,8.97561190244761,1.5265172060688244,58.06485508542034,0.1244546330489213,12.86543006463607,3.151036260903765,-0.6583591639827779,12957.389281521697,-276.4119688451645,FCC
Mn11.014Fe20.553Co26.68Ni31.8Cu9.9532,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1101397797204405,0.2055295889408221,0.2667994664010672,0.317999364001272,0.0995318009363981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091253817492367,1.84490801018398,1694.3630235739531,-1395.6748324803473,1.900468199063602,9.091253817492367,1.5216265567468867,58.24154761890477,0.1077154138581663,12.592740992683495,2.9333416779734294,-0.0678057327767978,14635.075428229044,-279.13496649606947,FCC
Mn9.2009Fe20.391Co27.657Ni32.751Cu9.9997,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0920093680374721,0.2039108156432625,0.2765711062844251,0.3275113100452401,0.0999973999895999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.139576558306231,1.8512666550666204,1698.2576774307097,-1401.380852787086,1.9000026000104,9.139576558306231,1.5196121184484737,58.31883908935635,0.1001935688872536,12.42994715552645,2.835120139559838,0.1621954245688016,15464.160488279187,-280.27617055741723,FCC
Mn7.8024Fe20.37Co28.357Ni33.59Cu9.8798,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0780246241969935,0.2037016296130369,0.2835722685781486,0.3359026872214978,0.0987987903903231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17374938999512,1.856119848958792,1701.90087000696,-1405.3893478227687,1.9012012096096769,9.17374938999512,1.5181772854182831,58.367810572484586,0.0936894122619505,12.268522876083354,2.7484014708210003,0.3136131784627838,16241.716757460284,-281.07786956455374,FCC
Mn6.5919Fe20.17Co29.019Ni34.317Cu9.9013,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659195273562188,0.2017016136129089,0.2901923215385723,0.343172745381963,0.0990137921103368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20765966127729,1.860436933495468,1704.4653255226042,-1409.3991103007934,1.9009862078896629,9.20765966127729,1.5167746741973935,58.421589472715766,0.0874564919245658,12.115181975439114,2.670172955427269,0.4818290646661977,16992.260446985656,-281.8798220601587,FCC
Mn5.6151Fe19.954Co29.481Ni35.213Cu9.7373,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0561507753968984,0.1995392018431926,0.2948088207647169,0.352128591485634,0.0973726105095579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23503305986776,1.864004593981624,1707.1308070767716,-1412.6202215531289,1.902627389490442,9.23503305986776,1.5156551973792105,58.45756866572533,0.0819370441752593,11.953294469444796,2.5969290795940347,0.5741773069803573,17724.232547882824,-282.5240443106257,FCC
Mn13.092Fe19.886Co25.893Ni30.972Cu10.156,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309213092130921,0.1988619886198861,0.2589325893258932,0.3097230972309723,0.1015610156101561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.052140521405214,1.8381757817578173,1688.3917224172242,-1391.1387299312191,1.898438984389844,9.052140521405214,1.5233364333643336,58.19044869448694,0.1154322117393479,12.74153785053945,3.0395369121136526,-0.2768796023643587,13791.357139373267,-278.2277459862438,FCC
Mn22.025Fe16.838Co24.025Ni28.882Cu8.2304,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2202491190035239,0.168379326482694,0.2402490390038439,0.2888188447246211,0.0823036707853168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.844548621805512,1.8092094631621476,1673.5631403474383,-1366.4882831764312,1.917696329214683,8.844548621805512,1.532131771472914,57.84383647865408,0.1403126355623947,12.804095662871788,3.308458145522463,-1.7791807578054712,11697.623000362011,-273.2976566352862,FCC+AM
Mn27.616Fe16.73Co22.062Ni25.96Cu7.6326,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2761583430499417,0.1672989962060228,0.2206186762879423,0.2595984424093456,0.0763255420467477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.692633844196937,1.7898172610964338,1663.1769578382532,-1348.4585535205651,1.9236744579532523,8.692633844196937,1.5384154695071832,57.60324881650711,0.1504098848729429,12.756772493291804,3.422996088425718,-2.285283491875828,10887.495903154992,-269.691710704113,AM
Mn30.76Fe15.767Co20.853Ni25.054Cu7.5669,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075972316249153,0.1576685809827711,0.2085281232468908,0.2505377451602935,0.0756683189851291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62901133889795,1.7796389832491506,1655.5519053828516,-1341.0156119805213,1.924331681014871,8.62901133889795,1.5411775794017857,57.50651271538557,0.1551609731581504,12.66153369401376,3.489109795800517,-2.5216408208609717,10400.567641351608,-268.2031223961043,AM
Mn34.163Fe8.6145Co17.611Ni19.812Cu19.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416282918585407,0.0861445692771536,0.1761091194544027,0.198119009404953,0.19799901000495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.824715876420619,1.7728589857050716,1595.950490997545,-1366.5898089271154,1.8020009899950504,8.824715876420619,1.53438882805586,58.16817370413149,0.1618548490929706,12.681788046119838,4.042002313080868,-0.1326361218354644,7762.245513850562,-273.3179617854231,AM
Mn43.222Fe14.532Co16.146Ni19.917Cu6.1838,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4322165422676618,0.1453188374493003,0.1614587083303333,0.1991684066527467,0.0618375052999575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.313091495268036,1.737314401484788,1631.634276125791,-1303.607746996232,1.9381624947000424,8.313091495268036,1.554408564731482,56.995296975624186,0.1651559417369984,11.89533101754241,3.5422805590223123,-3.1441887526187298,9480.049841418771,-260.7215493992464,AM
Mn18.785Fe17.118Co25.335Ni30.324Cu8.4388,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1878484972120223,0.1711786305709554,0.2533479732162143,0.3032375740994072,0.0843873249014008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.925136598907208,1.820235938112495,1680.3436164510686,-1376.0068497122304,1.9156126750985996,8.925136598907208,1.52874927000584,57.97078971168231,0.1327387418057483,12.758306541013583,3.208117190895696,-1.436037649305705,12396.31443629236,-275.2013699424461,FCC
