Alloy,Phase
CoCrFeNb0.206Ni,FCC+IM
CoCrFeNb0.309Ni,FCC+IM
CoCrFeNb0.412Ni,FCC+IM
CoCrFeNi,FCC
CoCr2FeNi,FCC+IM
CoCrFeNiPd,FCC
CoCrFeNiPd2,FCC
Co0.5CrFeNiTi0.5,FCC+IM
CoCrFeNiTi,BCC+FCC+IM
Co1.5CrFeNi1.5Ti0.5,FCC
Co1.5CrFeNi1.5Ti,FCC+IM
CoCrMnNi,FCC
CoCrMnNiV,FCC+IM
CoCuFeMnNi,FCC
CoCuFeMnNiSn0.03,FCC
CoCuFeMnNiSn0.05,FCC+IM
CoCuFeMnNiSn0.08,FCC+IM
CoCuFeMnNiSn0.1,FCC+IM
CoCuFeMnNiSn0.2,FCC+IM
CoCuFeNi,FCC
CoCuFeNiSn0.04,FCC+IM
CoCuFeNiSn0.05,FCC+IM
CoCuFeNiSn0.07,FCC+IM
CoCuFeNiSn0.1,FCC+IM
CoCuFeNiSn0.2,FCC+IM
CoCuFeNiSn0.5,FCC+IM
CoCuFeNiTi,FCC
CoCuFeNiV,FCC
CoFeMnMoNi,FCC+IM
CoFeMnNi,FCC
CoFeMnNiV,FCC+IM
CoFeMnTi0.5VZr,IM
CoFeMnTiV0.4Zr,IM
CoFeMnTiV0.7Zr,IM
CoFeMnTiVZr0.4,IM
CoFeMnTiVZr0.7,IM
CoFeMnTiVZr,IM
CoFeMnTiVZr1.3,IM
CoFeMnTiVZr1.6,IM
CoFeMnTiVZr2,IM
CoFeMnTiVZr2.3,IM
CoFeMnTiVZr2.6,IM
CoFeMnTiVZr3,IM
CoFeMnTiV1.3Zr,IM
CoFeMnTiV1.6Zr,IM
CoFeMnTiV2Zr,IM
CoFeMnTiV2.3Zr,IM
CoFeMnTiV2.6Zr,IM
CoFeMnTiV3Zr,IM
CoFeMnTi1.5VZr,IM
CoFeMnTi2VZr,IM
CoFeMnTi2.5VZr,IM
CoFeNiTi,FCC
Cr0.5CuFeMn0.5Ni,FCC
Cr0.5CuFeMnNi0.5,BCC+FCC
CrCu0.5FeMnNi,FCC
CrCuFe0.5Mn0.5Ni,BCC+FCC
CrCuFe0.5MnNi0.5,BCC+FCC
CrCuFeMnNi,BCC+FCC
CrCuFeMn2Ni2,FCC
Cr2CuFe2MnNi,BCC+FCC
Cr0.66FeMnNi,FCC
CrFe1.5MnNi0.5,BCC+IM
CrFe1.5MnNi0.6,FCC+IM
CrFe1.5MnNi0.7,FCC+IM
CrFeMnNiTi,BCC+IM
AlCrMoSiTi,IM
Al0.4Hf0.6NbTaTiZr,BCC
AlMo0.5NbTa0.5TiZr,BCC
Al0.25NbTaTiV,BCC
Al0.5NbTaTiV,BCC
AlNbTaTiV,BCC
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC
Al0.5NbTa0.8Ti1.5V0.2Zr,BCC
Al0.3NbTaTi1.4Zr1.3,BCC
AlNb1.5Ta0.5Ti1.5Zr0.5,BCC
CrMo0.5NbTa0.5TiZr,BCC+IM
CrNbTiVZr,BCC+IM
CrNbTiZr,BCC+IM
HfNbTaTiZr,BCC
HfNbTiZr,BCC
MoNbTaVW,BCC
MoNbTaW,BCC
MoNbTiV0.25Zr,BCC
MoNbTiV0.5Zr,BCC
MoNbTiV0.75Zr,BCC
MoNbTiV1.5Zr,BCC
MoNbTiV2Zr,BCC
MoNbTiV3Zr,BCC
MoNbTiVZr,BCC
NbTaTiV,BCC
NbTiVZr,BCC
NbTiV2Zr,BCC
AlCu0.5Li0.5MgSn0.2,IM
AlCu0.2Li0.5MgZn0.5,IM
Al16CuLiMgZn,FCC+IM
AlLi0.5MgSn0.2Zn0.5,FCC+IM
Al16LiMgSnZn,FCC+IM
DyGdLuTbTm,HCP
DyGdLuTbY,HCP
Al0.5B0.2CoCrCuFeNi,FCC+IM
Al0.5B0.6CoCrCuFeNi,FCC+IM
Al0.5BCoCrCuFeNi,IM
BeCuNiTiVZr,IM
CoCrNi,FCC
CoCuHfTiZr,IM
CoFeNi,FCC
CoFeNiSi0.25,FCC
CoFeNiSi0.5,FCC+IM
CoFeNiSi0.75,FCC+IM
CoMnNi,FCC
CrFeNi,FCC
FeMnNi,FCC
MoPdRhRu,HCP
MoRhRu,HCP
